"","number_tokens","ave_syllabels","perc_differentwords2","mean_sent_length","docdate"
"1572",2660,1.87187362878455,0.188679245283019,58.97560976,1998-02-12
"1573",3012,2.02292490118577,0.23201581027668,45,1998-05-12
"1574",8268,2.06499586890664,0.125860644450565,54.68345324,1998-12-03
"1575",8579,1.92218902770234,0.113932645301467,57.14705882,1999-11-23
"1576",3041,1.94420600858369,0.218884120171674,43.66666667,1998-04-30
"1577",4441,1.92556894243641,0.186880856760375,52.66233766,1998-11-26
"1578",4495,1.87404773996953,0.177755205688167,53.88461538,1998-09-17
"1579",3775,1.95163907822136,0.179487179487179,60.98214286,1998-12-16
"1580",10199,1.97307022634939,0.127916424840395,45.57971014,1998-10-29
"1581",2862,1.84583333333333,0.20875,52.79591837,1998-04-30
"1582",2386,2.08218503937008,0.243602362204724,45.61702128,1998-07-14
"1583",6671,1.95323865604434,0.16937997921718,41.00666667,1998-05-05
"1584",2498,1.9592803030303,0.239109848484848,37.01639344,1998-03-17
"1585",2119,2.06301824212272,0.268103924820343,44.97674419,1998-07-14
"1586",1761,1.96020874103066,0.264840182648402,49.27272727,1997-04-24
"1587",4416,1.90110739119238,0.16198815348957,60.53731343,1998-05-07
"1588",6444,1.95588501175194,0.175013559934912,39.1589404,1998-05-05
"1589",8576,1.97400465179915,0.15597208920509,36.7047619,1999-09-21
"1590",3328,1.88037126160193,0.193881058783087,45.27941176,1998-06-30
"1591",11646,1.96923832923833,0.121081081081081,38.60507246,2000-03-16
"1592",3531,1.88863109048724,0.162744448127279,68.82608696,1999-09-21
"1593",3658,1.91342812006319,0.192417061611374,41.725,1998-11-12
"1594",7034,1.88985929160602,0.147339479217208,52.16,1998-02-19
"1595",2968,2.01026045777427,0.213496448303078,47.10526316,1998-09-17
"1596",7769,2.00808229243204,0.136223365172667,45.90384615,1998-05-07
"1597",2038,2.05614823133071,0.231892195395845,39.34042553,1997-12-18
"1598",6952,1.96906702145352,0.166638948943955,40.52531646,1998-05-05
"1599",5693,1.95673569817511,0.182694279270043,39.31818182,1998-05-05
"1600",1984,1.99531066822978,0.259671746776084,63.92857143,1997-06-05
"1601",4089,2.02180774748924,0.185365853658537,54.73134328,1998-12-01
"1602",8465,1.91250169307869,0.103074630908845,54.34965035,1998-10-27
"1603",3208,2.0174253200569,0.199146514935989,47.61290323,1998-09-17
"1604",4367,1.94077207826547,0.148334214701216,64.87096774,1998-09-24
"1605",4069,1.98170200406622,0.208248620389195,34.72641509,1998-11-12
"1606",6175,1.9281045751634,0.150326797385621,53.69607843,1999-03-02
"1607",3570,1.87902144772118,0.184651474530831,49,1997-12-11
"1608",1788,1.97529258777633,0.273081924577373,42,1998-06-18
"1609",5135,1.96994167788246,0.159937191565725,52.85227273,1998-01-15
"1610",2098,1.92270531400966,0.25228126677402,46.16666667,1998-03-17
"1611",5940,1.87315343706914,0.160133937364585,43.0390625,1998-05-14
"1612",6261,1.94069681245367,0.154558932542624,51.39285714,2000-02-10
"1613",6511,1.96489711222549,0.168424693065883,45.48120301,2000-04-11
"1614",1194,1.99223300970874,0.319417475728155,49.86363636,1997-07-17
"1615",4011,1.95449275362319,0.188405797101449,47.1038961,1998-06-16
"1616",5087,1.99169472502806,0.15645342312009,36.47286822,1997-09-17
"1617",3670,1.98691767708998,0.192086790044671,45.08108108,1997-12-11
"1618",2325,2.00912778904665,0.251014198782961,43.375,1997-06-05
"1619",3855,1.91047904191617,0.188922155688623,41.30232558,1997-11-27
"1620",1164,1.98504486540379,0.321036889332004,41.15384615,1997-07-03
"1621",6218,1.85006877579092,0.132049518569464,47.85344828,2002-04-18
"1622",2856,1.99504541701074,0.203963666391412,43.45,1997-11-27
"1623",3197,1.98130841121495,0.207404744787922,42.24637681,1997-05-29
"1624",2321,1.89827856025039,0.23056859676578,46.81818182,1997-06-05
"1625",5953,1.9171875,0.1541015625,52.29126214,1998-11-19
"1626",11133,1.96583469721768,0.123772504091653,40.62450593,1999-09-21
"1627",2629,1.9215513442045,0.22300572939621,53.91111111,1998-06-17
"1628",3192,2.0073046018992,0.200876552227904,52.21428571,1997-10-16
"1629",2833,1.97681281618887,0.223018549747049,41.81967213,1997-12-11
"1630",1575,1.95727136431784,0.244377811094453,53.7037037,1998-01-15
"1631",2614,2.07441016333938,0.229582577132486,44.86538462,1998-06-18
"1632",1858,2.04435994930291,0.299112801013942,42.025,1997-09-17
"1633",5325,1.91573033707865,0.166067415730337,42.29565217,1999-10-05
"1634",5758,1.94760820045558,0.151998343342307,51.28712871,1998-05-12
"1635",1217,1.81642512077295,0.273429951690821,52.80952381,1999-11-23
"1636",4636,2.00837026095519,0.188330871491876,48.70454545,1997-11-20
"1637",861,2.02380952380952,0.257936507936508,54.73333333,1996-12-05
"1638",3062,1.96122296793438,0.211409395973154,48.54237288,1998-02-12
"1639",2489,1.84252336448598,0.202336448598131,67.20588235,1997-05-29
"1640",2617,1.95024433585073,0.237672145713016,47.62,1997-12-04
"1641",6890,1.88720395297325,0.13426478105299,63.62244898,1997-09-30
"1642",5696,1.92606134470851,0.146049157018078,55.87096774,1999-04-27
"1643",6660,2.054976135761,0.21530846738554,50.3697479,1998-11-26
"1644",3070,2.1401833460657,0.277310924369748,38.68055556,1998-10-22
"1645",4587,2.13877551020408,0.186734693877551,46.13333333,1999-09-09
"1646",2714,2.01310228233305,0.237954353338969,34.5890411,1999-02-04
"1647",9528,1.99306569343066,0.128832116788321,43.335,1999-10-14
"1648",7852,1.95070110701107,0.125313653136531,55.01526718,1999-09-21
"1649",7146,2.12208171206226,0.127107652399481,52.08730159,2000-05-18
"1650",6464,2.03665844201621,0.13782164258019,60.21428571,1999-05-04
"1651",12169,1.94506747766584,0.118988785402015,40.51086957,2001-11-22
"1652",3397,1.98468345813479,0.196051735874745,57.22222222,1998-09-24
"1653",4490,2.03108142820447,0.180837400462368,42.42268041,1999-03-25
"1654",3107,1.99187306501548,0.195046439628483,59.29787234,1998-01-15
"1655",3366,2.14423740510697,0.244651483781919,34.82022472,1998-10-29
"1656",11318,1.9592164741336,0.121747865394274,43.406639,1999-09-21
"1657",7996,1.92582457151087,0.15367996543281,37.94300518,1999-03-04
"1658",4816,2.02613908872902,0.167386091127098,51.13953488,1999-01-21
"1659",4546,1.93498995983936,0.203313253012048,50,1999-09-21
"1660",2473,1.94152581087254,0.211512105984468,65.62857143,1998-07-14
"1661",4610,1.98935380044565,0.169844020797227,52.27160494,1999-06-01
"1662",2651,2.12161562361296,0.280071016422548,42.69642857,1998-10-01
"1663",4215,2.04694048616932,0.184129645152277,52.66666667,1998-06-09
"1664",5092,2.07801094890511,0.163321167883212,48.69473684,1999-02-25
"1665",1789,2.09042196918955,0.371734762223711,37.52380952,1998-11-12
"1666",2461,1.92722891566265,0.230361445783133,64.97058824,1999-04-29
"1667",863,2.0374479889043,0.321775312066574,41.15789474,1998-02-12
"1668",7923,1.92174164617388,0.136409662953855,55.03816794,1999-06-15
"1669",3099,1.90234525182622,0.192618223760092,53.11320755,1998-10-22
"1670",725,2.10501567398119,0.347962382445141,45.2,1998-02-12
"1671",1276,1.98418604651163,0.297674418604651,48.20833333,1998-05-07
"1672",6107,1.88855307895731,0.156025689459766,46.08264463,2000-02-10
"1673",2227,2.01284026707756,0.251669234720082,54,1998-11-12
"1674",2009,1.98853349426675,0.254677127338564,49.16216216,1999-01-21
"1675",2470,1.93143408981169,0.241912119748914,49.31111111,1998-10-27
"1676",4078,1.93363078639152,0.186279977691021,54.5942029,1998-12-17
"1677",3656,1.81311684177014,0.205348615090735,36.17021277,2000-02-17
"1678",7972,2.00071194646163,0.138260002847786,49.86394558,2000-03-28
"1679",6368,1.97706826600811,0.152407832069148,52.15929204,1999-03-16
"1680",17251,1.96241358480435,0.0987985770857105,43.8988764,1999-04-22
"1681",5429,2.07820986313274,0.167716706495764,50.45833333,1998-11-19
"1682",639,2.00892857142857,0.316071428571429,42.71428571,1998-03-12
"1683",3193,1.99851906701222,0.233987412069604,43.28358209,1999-02-25
"1684",4858,1.97131341868184,0.179943100995733,42.71428571,1999-03-18
"1685",6402,1.96793838438116,0.141680100304496,43.125,1999-02-09
"1686",2354,1.89380530973451,0.240904621435595,39.72727273,1999-06-10
"1688",2354,1.89380530973451,0.240904621435595,39.72727273,2002-10-02
"1690",1175,1.97076023391813,0.310916179337232,42.07692308,1998-03-05
"1691",2695,1.92390369733448,0.207222699914015,42.89655172,1998-06-11
"1692",5594,2.03575274606935,0.205039844927848,40.56910569,2000-03-30
"1693",3800,1.90535106712032,0.173213733374575,45.95945946,1999-03-02
"1694",3107,1.88988326848249,0.217509727626459,41.58208955,1999-01-28
"1695",1280,1.99815498154982,0.273985239852399,46.46153846,1998-06-18
"1696",5188,1.97381519151699,0.153862800259684,43.90909091,1999-11-11
"1697",2991,2.07671653241274,0.263137706175681,48.60714286,1998-09-22
"1698",3187,2.00216606498195,0.203610108303249,35.75903614,1999-07-08
"1699",999,1.97252090800478,0.267622461170848,43.66666667,1997-12-11
"1700",3146,2.07568190549366,0.210910487898579,56.24489796,1998-10-29
"1701",1408,2.0358598207009,0.248573757131214,43.73333333,1999-02-25
"1702",4634,1.95653253849975,0.170392449080974,50.58823529,1999-06-08
"1703",6554,1.98247879011435,0.139431943932128,51.83185841,1998-12-17
"1704",4627,1.99281682914315,0.203181118522319,55.98648649,1998-12-01
"1705",6207,1.97271329746349,0.15315142198309,51.80373832,2000-02-10
"1706",4647,1.91906929691452,0.194992412746586,43.32653061,2001-05-03
